Identifier,Responsible partner,"Version (optional)
","Competency Question /
 Natural language sentence (fact)",Answer (For Competency Questions),"Status (Proposed, Accepted, Rejected, Deprecated)",Comments (optional),Extracted from (provenance),"Priority 
(High, Medium, Low) (optional)",Relation with other requirements (optional),Associated ontology elements,Relation to ontology elements in other domains
COM01,UPM,v0.1.0,¿Qué establecimientos comerciales existen en una división administrativa?,,Proposed,¿También zona comercial?,,,,,
COM02,UPM,v0.1.0,¿Cuál es la distribución geográfica de los establecimientos por categoría de actividad CNAE o IAE?,,Proposed,,,,,,
COM03,UPM,v0.1.0,¿En qué estado están los comercios de una división administrativa concreta en un momento dado?,,Proposed,,,,,,
COM04,UPM,v0.1.0,¿Qué comercios contiene una agrupación comercial específica?,,Proposed,,,,,,
COM05,UPM,v0.1.0,¿Cuántos comercios han abierto o cerrado en un periodo concreto en un distrito determinado?,,Proposed,,,,,,
COM06,UPM,v0.1.0,¿Qué zonas presentan mayor tasa de altas y bajas comerciales?,,Proposed,,,,,,
COM07,UPM,v0.1.0,¿Qué licencias de actividad están asociadas a cada comercio?,,Proposed,,,,,,
COM08,UPM,v0.1.0,"¿Qué tipo de expedientes (APCAL, DRAACT, CAMTI, etc.) predominan en una zona?",,Proposed,,,,,,
COM09,UPM,v0.1.0,"¿Qué licencias están en tramitación, concedidas o denegadas en un periodo determinado?",,Proposed,,,,,,
COM10,UPM,v0.1.0,¿Qué establecimientos comerciales disponen de autorización de ocupación de vía pública?,,Proposed,No parece que interese tener un atributo para los establecimientos,,,,,
COM12,UPM,v0.1.0,¿Qué mercados existen en un municipio?,,Proposed,¿Generalizar para otros tipos de agrupaciones comerciales?,,,,,
COM13,UPM,v0.1.0,¿Cuál es el número de puestos por mercado y su grado de ocupación?,,Proposed,puesto no ocupado si no hay licencia asociada a él o si situación es libre o en reforma,,,,,
COM14,UPM,v0.1.0,¿Qué actividades comerciales existen en una zona determinada?,,Proposed,¿Códigos de actividad de espacios comerciales?,,,,,
